lga_name,year,offence_count
 Banyule,2025,11496.0
 Brimbank,2025,18798.0
 Darebin,2025,17322.0
 Hobsons Bay,2025,7870.0
 Hume,2025,23441.0
 Maribyrnong,2025,12466.0
 Melbourne,2025,46695.0
 Melton,2025,16851.0
 Merri-bek,2025,14671.0
 Moonee Valley,2025,10329.0
 Nillumbik,2025,2353.0
 Whittlesea,2025,18378.0
 Wyndham,2025,24450.0
 Yarra,2025,15763.0
 Alpine,2025,555.0
 Bass Coast,2025,3822.0
 Baw Baw,2025,5193.0
 Benalla,2025,1556.0
 Boroondara,2025,9964.0
 East Gippsland,2025,6497.0
 Greater Shepparton,2025,10548.0
 Indigo,2025,598.0
 Knox,2025,10537.0
 Latrobe,2025,14172.0
 Manningham,2025,5053.0
 Mansfield,2025,402.0
 Maroondah,2025,9033.0
 Mitchell,2025,5591.0
 Moira,2025,2751.0
 Monash,2025,15092.0
 Murrindindi,2025,885.0
 South Gippsland,2025,2633.0
 Strathbogie,2025,672.0
 Towong,2025,210.0
 Wangaratta,2025,2889.0
 Wellington,2025,5680.0
 Whitehorse,2025,11844.0
 Wodonga,2025,4260.0
 Yarra Ranges,2025,8307.0
 Bayside,2025,5554.0
 Cardinia,2025,9665.0
 Casey,2025,31012.0
 Frankston,2025,17293.0
 Glen Eira,2025,7715.0
 Greater Dandenong,2025,22184.0
 Kingston,2025,12282.0
 Mornington Peninsula,2025,12194.0
 Port Phillip,2025,15872.0
 Stonnington,2025,13842.0
 Ararat,2025,1566.0
 Ballarat,2025,14481.0
 Buloke,2025,287.0
 Campaspe,2025,3914.0
 Central Goldfields,2025,1441.0
 Colac-Otway,2025,1934.0
 Corangamite,2025,992.0
 Gannawarra,2025,862.0
 Glenelg,2025,2489.0
 Golden Plains,2025,803.0
 Greater Bendigo,2025,12282.0
 Greater Geelong,2025,25574.0
 Hepburn,2025,806.0
 Hindmarsh,2025,367.0
 Horsham,2025,2646.0
 Loddon,2025,517.0
 Macedon Ranges,2025,2620.0
 Mildura,2025,8180.0
 Moorabool,2025,3502.0
 Mount Alexander,2025,1458.0
 Moyne,2025,724.0
 Northern Grampians,2025,1584.0
 Pyrenees,2025,528.0
 Queenscliffe,2025,76.0
 Southern Grampians,2025,1267.0
 Surf Coast,2025,1277.0
 Swan Hill,2025,2322.0
 Warrnambool,2025,3662.0
 West Wimmera,2025,180.0
 Yarriambiack,2025,507.0
 Justice Institutions and Immigration Facilities,2025,2167.0
 Unincorporated Vic,2025,123.0
 Banyule,2024,10171.0
 Brimbank,2024,18524.0
 Darebin,2024,17669.0
 Hobsons Bay,2024,7458.0
 Hume,2024,21981.0
 Maribyrnong,2024,11771.0
 Melbourne,2024,42746.0
 Melton,2024,15212.0
 Merri-bek,2024,15297.0
 Moonee Valley,2024,9888.0
 Nillumbik,2024,2282.0
 Whittlesea,2024,17051.0
 Wyndham,2024,23051.0
 Yarra,2024,15034.0
 Alpine,2024,414.0
 Bass Coast,2024,3420.0
 Baw Baw,2024,5845.0
 Benalla,2024,1930.0
 Boroondara,2024,8804.0
 East Gippsland,2024,5743.0
 Greater Shepparton,2024,10195.0
 Indigo,2024,662.0
 Knox,2024,11606.0
 Latrobe,2024,13353.0
 Manningham,2024,5492.0
 Mansfield,2024,471.0
 Maroondah,2024,8642.0
 Mitchell,2024,5705.0
 Moira,2024,2661.0
 Monash,2024,14965.0
 Murrindindi,2024,640.0
 South Gippsland,2024,2247.0
 Strathbogie,2024,776.0
 Towong,2024,242.0
 Wangaratta,2024,2861.0
 Wellington,2024,5483.0
 Whitehorse,2024,10902.0
 Wodonga,2024,4823.0
 Yarra Ranges,2024,7892.0
 Bayside,2024,5586.0
 Cardinia,2024,8988.0
 Casey,2024,27251.0
 Frankston,2024,17386.0
 Glen Eira,2024,8236.0
 Greater Dandenong,2024,20930.0
 Kingston,2024,12616.0
 Mornington Peninsula,2024,12726.0
 Port Phillip,2024,14690.0
 Stonnington,2024,12939.0
 Ararat,2024,1607.0
 Ballarat,2024,13481.0
 Buloke,2024,362.0
 Campaspe,2024,4345.0
 Central Goldfields,2024,1750.0
 Colac-Otway,2024,1956.0
 Corangamite,2024,894.0
 Gannawarra,2024,893.0
 Glenelg,2024,2084.0
 Golden Plains,2024,775.0
 Greater Bendigo,2024,12972.0
 Greater Geelong,2024,25061.0
 Hepburn,2024,807.0
 Hindmarsh,2024,308.0
 Horsham,2024,2444.0
 Loddon,2024,502.0
 Macedon Ranges,2024,2587.0
 Mildura,2024,8590.0
 Moorabool,2024,2590.0
 Mount Alexander,2024,1265.0
 Moyne,2024,718.0
 Northern Grampians,2024,1270.0
 Pyrenees,2024,471.0
 Queenscliffe,2024,87.0
 Southern Grampians,2024,1700.0
 Surf Coast,2024,1290.0
 Swan Hill,2024,2034.0
 Warrnambool,2024,3640.0
 West Wimmera,2024,233.0
 Yarriambiack,2024,661.0
 Justice Institutions and Immigration Facilities,2024,2222.0
 Unincorporated Vic,2024,101.0
 Banyule,2023,8063.0
 Brimbank,2023,17038.0
 Darebin,2023,13680.0
 Hobsons Bay,2023,5713.0
 Hume,2023,18312.0
 Maribyrnong,2023,9734.0
 Melbourne,2023,37719.0
 Melton,2023,12762.0
 Merri-bek,2023,12749.0
 Moonee Valley,2023,8040.0
 Nillumbik,2023,1786.0
 Whittlesea,2023,13224.0
 Wyndham,2023,18627.0
 Yarra,2023,12857.0
 Alpine,2023,521.0
 Bass Coast,2023,2950.0
